DateTime, Date, Time, Water Level, Sigma
2015-01-26 15:54,2015-01-26,15:54,1.308,H 
2015-01-26 21:42,2015-01-26,21:42,-1.587,LL
2015-01-27 04:24,2015-01-27,04:24,2.128,HH
2015-01-27 10:24,2015-01-27,10:24,-0.639,L 
2015-01-27 16:42,2015-01-27,16:42,1.523,HH
2015-01-27 23:00,2015-01-27,23:00,-1.165,L 
2015-01-28 05:06,2015-01-28,05:06,1.344,H 
2015-01-28 11:48,2015-01-28,11:48,-1.503,LL
2015-01-28 18:00,2015-01-28,18:00,1.055,H 
2015-01-28 23:48,2015-01-28,23:48,-1.261,L 
2015-01-29 06:12,2015-01-29,06:12,1.316,HH
2015-01-29 12:24,2015-01-29,12:24,-1.439,LL
2015-01-29 19:00,2015-01-29,19:00,1.194,H 
2015-01-30 00:54,2015-01-30,00:54,-1.272,L 
2015-01-30 07:24,2015-01-30,07:24,1.540,HH
2015-01-30 13:48,2015-01-30,13:48,-1.430,LL
2015-01-30 20:12,2015-01-30,20:12,1.252,H 
2015-01-31 02:06,2015-01-31,02:06,-1.242,L 
2015-01-31 08:24,2015-01-31,08:24,1.356,HH
2015-01-31 15:00,2015-01-31,15:00,-1.663,LL
2015-01-31 20:54,2015-01-31,20:54,0.856,H 
2015-02-01 03:00,2015-02-01,03:00,-1.345,L 
2015-02-01 09:12,2015-02-01,09:12,1.247,HH
2015-02-01 15:42,2015-02-01,15:42,-1.701,LL
2015-02-01 21:36,2015-02-01,21:36,0.867,H 
2015-02-02 03:30,2015-02-02,03:30,-1.511,LL
2015-02-02 10:06,2015-02-02,10:06,1.551,HH
2015-02-02 16:12,2015-02-02,16:12,-1.340,L 
2015-02-02 22:06,2015-02-02,22:06,1.235,H 
2015-02-03 04:48,2015-02-03,04:48,-1.554,L 
2015-02-03 10:30,2015-02-03,10:30,1.407,HH
2015-02-03 16:54,2015-02-03,16:54,-1.750,LL
2015-02-03 23:06,2015-02-03,23:06,0.931,H 
2015-02-04 05:00,2015-02-04,05:00,-1.477,L 
2015-02-04 11:06,2015-02-04,11:06,1.340,HH
2015-02-04 17:30,2015-02-04,17:30,-1.809,LL
2015-02-04 23:24,2015-02-04,23:24,1.133,H 
2015-02-05 05:42,2015-02-05,05:42,-1.313,L 
2015-02-05 11:48,2015-02-05,11:48,1.458,HH
2015-02-05 18:06,2015-02-05,18:06,-1.849,LL
2015-02-06 00:30,2015-02-06,00:30,1.069,H 
2015-02-06 06:24,2015-02-06,06:24,-1.505,L 
2015-02-06 12:36,2015-02-06,12:36,1.329,HH
2015-02-06 18:48,2015-02-06,18:48,-1.597,LL
2015-02-07 00:54,2015-02-07,00:54,1.080,H 
2015-02-07 06:54,2015-02-07,06:54,-1.453,L 
2015-02-07 13:06,2015-02-07,13:06,1.258,HH
2015-02-07 19:12,2015-02-07,19:12,-1.492,LL
2015-02-08 01:36,2015-02-08,01:36,1.215,H 
2015-02-08 07:36,2015-02-08,07:36,-1.350,L 
2015-02-08 14:00,2015-02-08,14:00,1.286,HH
2015-02-08 19:48,2015-02-08,19:48,-1.387,LL
2015-02-09 02:06,2015-02-09,02:06,1.349,HH
2015-02-09 08:18,2015-02-09,08:18,-1.170,LL
2015-02-09 14:18,2015-02-09,14:18,1.325,H 
2015-02-09 20:24,2015-02-09,20:24,-1.107,L 
2015-02-10 02:42,2015-02-10,02:42,1.310,HH
2015-02-10 08:54,2015-02-10,08:54,-1.181,L 
2015-02-10 15:12,2015-02-10,15:12,1.080,H 
2015-02-10 21:18,2015-02-10,21:18,-1.182,LL
2015-02-11 03:24,2015-02-11,03:24,1.253,HH
2015-02-11 09:30,2015-02-11,09:30,-1.047,LL
2015-02-11 16:30,2015-02-11,16:30,1.151,H 
2015-02-11 21:48,2015-02-11,21:48,-0.877,L 
2015-02-12 04:24,2015-02-12,04:24,1.508,HH
2015-02-12 10:36,2015-02-12,10:36,-0.917,L 
2015-02-12 16:54,2015-02-12,16:54,1.184,H 
2015-02-12 23:00,2015-02-12,23:00,-0.920,LL
2015-02-13 04:54,2015-02-13,04:54,1.240,HH
2015-02-13 11:48,2015-02-13,11:48,-1.345,LL
2015-02-13 17:54,2015-02-13,17:54,0.882,H 
2015-02-13 23:42,2015-02-13,23:42,-1.158,L 
2015-02-14 06:12,2015-02-14,06:12,1.410,HH
2015-02-14 12:48,2015-02-14,12:48,-1.391,LL
2015-02-14 19:00,2015-02-14,19:00,1.039,H 
2015-02-15 00:54,2015-02-15,00:54,-1.062,L 
2015-02-15 07:18,2015-02-15,07:18,1.824,HH
2015-02-15 13:54,2015-02-15,13:54,-1.412,L 
2015-02-15 19:48,2015-02-15,19:48,1.031,H 
2015-02-16 02:00,2015-02-16,02:00,-1.600,LL
2015-02-16 08:12,2015-02-16,08:12,1.032,HH
2015-02-16 14:36,2015-02-16,14:36,-1.972,LL
2015-02-16 20:54,2015-02-16,20:54,0.950,H 
2015-02-17 02:42,2015-02-17,02:42,-1.653,L 
2015-02-17 08:54,2015-02-17,08:54,1.630,HH
2015-02-17 15:18,2015-02-17,15:18,-1.767,LL
2015-02-17 21:36,2015-02-17,21:36,1.608,H 
2015-02-18 03:42,2015-02-18,03:42,-1.748,L 
2015-02-18 10:06,2015-02-18,10:06,2.012,HH
2015-02-18 16:06,2015-02-18,16:06,-1.999,LL
2015-02-18 22:30,2015-02-18,22:30,1.956,H 
2015-02-19 04:36,2015-02-19,04:36,-1.850,L 
2015-02-19 10:48,2015-02-19,10:48,2.159,HH
2015-02-19 17:00,2015-02-19,17:00,-2.082,L 
2015-02-19 23:30,2015-02-19,23:30,1.791,H 
2015-02-20 05:36,2015-02-20,05:36,-2.159,LL
2015-02-20 11:42,2015-02-20,11:42,1.719,HH
2015-02-20 18:06,2015-02-20,18:06,-2.485,LL
2015-02-21 00:18,2015-02-21,00:18,1.468,H 
2015-02-21 06:24,2015-02-21,06:24,-2.280,L 
2015-02-21 12:36,2015-02-21,12:36,1.598,H 
2015-02-21 18:48,2015-02-21,18:48,-2.263,LL
2015-02-22 01:06,2015-02-22,01:06,1.680,HH
2015-02-22 07:12,2015-02-22,07:12,-2.227,L 
2015-02-22 13:30,2015-02-22,13:30,1.599,H 
2015-02-22 19:30,2015-02-22,19:30,-2.056,L 
2015-02-23 01:54,2015-02-23,01:54,1.693,HH
2015-02-23 08:18,2015-02-23,08:18,-2.166,LL
2015-02-23 14:18,2015-02-23,14:18,1.261,H 
2015-02-23 20:36,2015-02-23,20:36,-2.123,LL
2015-02-24 02:54,2015-02-24,02:54,1.321,HH
2015-02-24 09:06,2015-02-24,09:06,-1.823,L 
2015-02-24 15:24,2015-02-24,15:24,1.282,H 
2015-02-24 21:18,2015-02-24,21:18,-1.626,L 
2015-02-25 03:48,2015-02-25,03:48,1.541,HH
2015-02-25 10:12,2015-02-25,10:12,-1.636,LL
2015-02-25 16:36,2015-02-25,16:36,1.172,H 
2015-02-25 22:24,2015-02-25,22:24,-1.451,L 
2015-02-26 04:48,2015-02-26,04:48,1.332,HH
2015-02-26 11:00,2015-02-26,11:00,-1.690,LL
2015-02-26 17:48,2015-02-26,17:48,0.941,H 
2015-02-26 23:36,2015-02-26,23:36,-1.305,L 
2015-02-27 05:48,2015-02-27,05:48,1.175,HH
2015-02-27 12:18,2015-02-27,12:18,-1.551,LL
2015-02-27 18:30,2015-02-27,18:30,0.940,H 
2015-02-28 00:36,2015-02-28,00:36,-1.433,L 
2015-02-28 07:06,2015-02-28,07:06,1.005,HH
2015-02-28 13:18,2015-02-28,13:18,-1.727,LL
2015-02-28 19:42,2015-02-28,19:42,0.709,H 
2015-03-01 01:42,2015-03-01,01:42,-1.495,L 
2015-03-01 08:00,2015-03-01,08:00,1.044,HH
2015-03-01 14:18,2015-03-01,14:18,-1.624,LL
2015-03-01 20:48,2015-03-01,20:48,0.844,H 
2015-03-02 02:30,2015-03-02,02:30,-1.356,L 
2015-03-02 08:54,2015-03-02,08:54,1.184,HH
2015-03-02 15:24,2015-03-02,15:24,-1.700,LL
2015-03-02 21:48,2015-03-02,21:48,0.700,H 
2015-03-03 03:18,2015-03-03,03:18,-1.608,L 
2015-03-03 09:42,2015-03-03,09:42,1.034,HH
2015-03-03 16:00,2015-03-03,16:00,-1.659,LL
2015-03-03 22:06,2015-03-03,22:06,1.042,H 
2015-03-04 04:00,2015-03-04,04:00,-1.328,L 
2015-03-04 10:18,2015-03-04,10:18,1.252,HH
2015-03-04 16:30,2015-03-04,16:30,-1.498,LL
2015-03-04 22:30,2015-03-04,22:30,1.219,HH
2015-03-05 05:00,2015-03-05,05:00,-1.638,L 
2015-03-05 10:42,2015-03-05,10:42,1.131,H 
2015-03-05 17:00,2015-03-05,17:00,-1.776,LL
2015-03-05 23:30,2015-03-05,23:30,1.141,H 
2015-03-06 05:24,2015-03-06,05:24,-1.608,L 
2015-03-06 11:30,2015-03-06,11:30,1.273,HH
2015-03-06 17:42,2015-03-06,17:42,-1.732,LL
2015-03-06 23:48,2015-03-06,23:48,1.084,H 
2015-03-07 05:54,2015-03-07,05:54,-1.679,LL
2015-03-07 12:00,2015-03-07,12:00,1.201,HH
2015-03-07 18:12,2015-03-07,18:12,-1.642,L 
2015-03-08 00:18,2015-03-08,00:18,1.145,H 
2015-03-08 07:24,2015-03-08,07:24,-1.616,LL
2015-03-08 13:42,2015-03-08,13:42,1.240,HH
2015-03-08 19:48,2015-03-08,19:48,-1.564,L 
2015-03-09 02:06,2015-03-09,02:06,1.220,HH
2015-03-09 08:06,2015-03-09,08:06,-1.570,LL
2015-03-09 14:18,2015-03-09,14:18,1.114,H 
2015-03-09 20:24,2015-03-09,20:24,-1.567,L 
2015-03-10 02:36,2015-03-10,02:36,1.189,HH
2015-03-10 08:42,2015-03-10,08:42,-1.624,LL
2015-03-10 15:00,2015-03-10,15:00,1.004,H 
2015-03-10 21:00,2015-03-10,21:00,-1.417,L 
2015-03-11 03:12,2015-03-11,03:12,1.259,HH
2015-03-11 09:24,2015-03-11,09:24,-1.476,LL
2015-03-11 15:48,2015-03-11,15:48,1.008,H 
2015-03-11 21:30,2015-03-11,21:30,-1.377,L 
2015-03-12 03:36,2015-03-12,03:36,1.230,HH
2015-03-12 10:24,2015-03-12,10:24,-1.738,LL
2015-03-12 16:24,2015-03-12,16:24,0.749,H 
2015-03-12 22:30,2015-03-12,22:30,-1.504,L 
2015-03-13 05:12,2015-03-13,05:12,0.930,HH
2015-03-13 11:00,2015-03-13,11:00,-1.460,LL
2015-03-13 17:18,2015-03-13,17:18,0.861,H 
2015-03-13 23:30,2015-03-13,23:30,-1.331,L 
2015-03-14 05:48,2015-03-14,05:48,1.105,HH
2015-03-14 11:54,2015-03-14,11:54,-1.490,LL
2015-03-14 18:48,2015-03-14,18:48,1.031,H 
2015-03-15 00:24,2015-03-15,00:24,-1.026,L 
2015-03-15 06:42,2015-03-15,06:42,1.495,HH
2015-03-15 13:18,2015-03-15,13:18,-1.350,LL
2015-03-15 19:18,2015-03-15,19:18,1.077,H 
2015-03-16 01:24,2015-03-16,01:24,-1.319,L 
2015-03-16 07:48,2015-03-16,07:48,1.364,H 
2015-03-16 14:12,2015-03-16,14:12,-1.444,LL
2015-03-16 20:30,2015-03-16,20:30,1.369,HH
2015-03-17 02:36,2015-03-17,02:36,-1.334,L 
2015-03-17 08:48,2015-03-17,08:48,1.660,HH
2015-03-17 15:12,2015-03-17,15:12,-1.586,L 
2015-03-17 21:18,2015-03-17,21:18,1.391,H 
2015-03-18 03:42,2015-03-18,03:42,-1.930,LL
2015-03-18 09:42,2015-03-18,09:42,1.446,HH
2015-03-18 16:12,2015-03-18,16:12,-2.121,LL
2015-03-18 22:18,2015-03-18,22:18,1.343,H 
2015-03-19 04:18,2015-03-19,04:18,-1.945,L 
2015-03-19 10:42,2015-03-19,10:42,1.560,H 
2015-03-19 16:54,2015-03-19,16:54,-2.160,LL
2015-03-19 23:06,2015-03-19,23:06,1.633,HH
2015-03-20 05:18,2015-03-20,05:18,-2.084,L 
2015-03-20 11:36,2015-03-20,11:36,1.761,H 
2015-03-20 17:42,2015-03-20,17:42,-2.219,LL
2015-03-21 00:00,2015-03-21,00:00,1.834,HH
2015-03-21 06:06,2015-03-21,06:06,-2.182,L 
2015-03-21 12:24,2015-03-21,12:24,1.903,H 
2015-03-21 18:30,2015-03-21,18:30,-2.040,L 
2015-03-22 00:48,2015-03-22,00:48,2.058,HH
2015-03-22 07:06,2015-03-22,07:06,-2.284,LL
2015-03-22 13:18,2015-03-22,13:18,1.485,HH
2015-03-22 19:30,2015-03-22,19:30,-2.371,L 
2015-03-23 01:42,2015-03-23,01:42,1.359,H 
2015-03-23 07:54,2015-03-23,07:54,-2.385,LL
2015-03-23 14:06,2015-03-23,14:06,1.354,H 
2015-03-23 20:18,2015-03-23,20:18,-2.054,LL
2015-03-24 02:30,2015-03-24,02:30,1.523,HH
2015-03-24 08:48,2015-03-24,08:48,-1.980,L 
2015-03-24 15:00,2015-03-24,15:00,1.437,H 
2015-03-24 21:06,2015-03-24,21:06,-1.821,L 
2015-03-25 03:24,2015-03-25,03:24,1.491,HH
2015-03-25 09:48,2015-03-25,09:48,-1.977,LL
2015-03-25 15:54,2015-03-25,15:54,1.155,H 
2015-03-25 22:06,2015-03-25,22:06,-1.695,LL
2015-03-26 04:18,2015-03-26,04:18,1.346,HH
2015-03-26 10:36,2015-03-26,10:36,-1.671,L 
2015-03-26 17:06,2015-03-26,17:06,1.097,H 
2015-03-26 23:06,2015-03-26,23:06,-1.314,L 
2015-03-27 05:06,2015-03-27,05:06,1.307,HH
2015-03-27 11:36,2015-03-27,11:36,-1.518,LL
2015-03-27 18:06,2015-03-27,18:06,1.121,H 
2015-03-28 00:00,2015-03-28,00:00,-1.175,L 
2015-03-28 06:42,2015-03-28,06:42,1.334,HH
2015-03-28 12:24,2015-03-28,12:24,-1.243,LL
2015-03-28 18:54,2015-03-28,18:54,1.115,HH
2015-03-29 01:06,2015-03-29,01:06,-1.104,L 
2015-03-29 07:36,2015-03-29,07:36,1.110,H 
2015-03-29 14:00,2015-03-29,14:00,-1.467,LL
2015-03-29 20:00,2015-03-29,20:00,0.908,H 
2015-03-30 02:06,2015-03-30,02:06,-1.222,L 
2015-03-30 08:36,2015-03-30,08:36,1.108,HH
2015-03-30 14:48,2015-03-30,14:48,-1.326,LL
2015-03-30 21:12,2015-03-30,21:12,1.093,H 
2015-03-31 03:00,2015-03-31,03:00,-1.186,L 
2015-03-31 09:18,2015-03-31,09:18,1.162,HH
2015-03-31 15:30,2015-03-31,15:30,-1.441,LL
2015-03-31 21:42,2015-03-31,21:42,1.081,H 
2015-04-01 03:54,2015-04-01,03:54,-1.334,L 
2015-04-01 10:06,2015-04-01,10:06,1.167,HH
2015-04-01 16:06,2015-04-01,16:06,-1.455,LL
2015-04-01 22:30,2015-04-01,22:30,1.076,H 
2015-04-02 04:30,2015-04-02,04:30,-1.524,L 
2015-04-02 10:54,2015-04-02,10:54,1.139,HH
2015-04-02 16:54,2015-04-02,16:54,-1.571,LL
2015-04-02 23:30,2015-04-02,23:30,1.150,H 
2015-04-03 05:18,2015-04-03,05:18,-1.540,LL
2015-04-03 11:18,2015-04-03,11:18,1.231,HH
2015-04-03 17:36,2015-04-03,17:36,-1.490,L 
2015-04-03 23:48,2015-04-03,23:48,1.321,H 
2015-04-04 06:00,2015-04-04,06:00,-1.489,L 
2015-04-04 12:00,2015-04-04,12:00,1.362,HH
2015-04-04 18:00,2015-04-04,18:00,-1.622,LL
2015-04-05 00:18,2015-04-05,00:18,1.169,HH
2015-04-05 06:24,2015-04-05,06:24,-1.721,LL
2015-04-05 12:36,2015-04-05,12:36,1.038,H 
2015-04-05 18:30,2015-04-05,18:30,-1.590,L 
2015-04-06 00:48,2015-04-06,00:48,1.350,HH
2015-04-06 06:54,2015-04-06,06:54,-1.795,LL
2015-04-06 13:06,2015-04-06,13:06,1.097,H 
2015-04-06 19:00,2015-04-06,19:00,-1.446,L 
2015-04-07 01:18,2015-04-07,01:18,1.430,HH
2015-04-07 07:36,2015-04-07,07:36,-1.823,LL
2015-04-07 14:00,2015-04-07,14:00,1.022,H 
2015-04-07 19:48,2015-04-07,19:48,-1.534,L 
2015-04-08 02:00,2015-04-08,02:00,1.356,HH
2015-04-08 08:18,2015-04-08,08:18,-1.756,LL
2015-04-08 14:30,2015-04-08,14:30,1.007,H 
2015-04-08 20:30,2015-04-08,20:30,-1.542,L 
2015-04-09 02:36,2015-04-09,02:36,1.319,HH
2015-04-09 08:54,2015-04-09,08:54,-1.565,LL
2015-04-09 15:18,2015-04-09,15:18,1.106,H 
2015-04-09 21:06,2015-04-09,21:06,-1.360,L 
2015-04-10 03:30,2015-04-10,03:30,1.360,HH
2015-04-10 09:54,2015-04-10,09:54,-1.557,LL
2015-04-10 16:00,2015-04-10,16:00,1.100,H 
2015-04-10 21:54,2015-04-10,21:54,-1.284,L 
2015-04-11 04:18,2015-04-11,04:18,1.331,HH
2015-04-11 10:36,2015-04-11,10:36,-1.671,LL
2015-04-11 17:12,2015-04-11,17:12,0.856,H 
2015-04-11 22:48,2015-04-11,22:48,-1.417,L 
2015-04-12 05:12,2015-04-12,05:12,1.212,HH
2015-04-12 11:30,2015-04-12,11:30,-1.750,LL
2015-04-12 18:06,2015-04-12,18:06,0.993,H 
2015-04-13 00:06,2015-04-13,00:06,-1.403,L 
2015-04-13 06:18,2015-04-13,06:18,1.260,HH
2015-04-13 12:36,2015-04-13,12:36,-1.669,LL
2015-04-13 19:00,2015-04-13,19:00,1.063,H 
2015-04-14 01:06,2015-04-14,01:06,-1.512,L 
2015-04-14 07:24,2015-04-14,07:24,1.258,HH
2015-04-14 13:42,2015-04-14,13:42,-1.817,LL
2015-04-14 20:00,2015-04-14,20:00,1.156,H 
2015-04-15 02:12,2015-04-15,02:12,-1.666,L 
2015-04-15 08:30,2015-04-15,08:30,1.421,HH
2015-04-15 14:42,2015-04-15,14:42,-1.826,L 
2015-04-15 21:00,2015-04-15,21:00,1.363,H 
2015-04-16 03:06,2015-04-16,03:06,-1.863,LL
2015-04-16 09:24,2015-04-16,09:24,1.418,H 
2015-04-16 15:36,2015-04-16,15:36,-2.008,L 
2015-04-16 21:54,2015-04-16,21:54,1.582,HH
2015-04-17 04:00,2015-04-17,04:00,-2.034,LL
2015-04-17 10:30,2015-04-17,10:30,1.597,H 
2015-04-17 16:30,2015-04-17,16:30,-2.048,L 
2015-04-17 22:48,2015-04-17,22:48,1.763,HH
2015-04-18 05:00,2015-04-18,05:00,-2.068,LL
2015-04-18 11:12,2015-04-18,11:12,1.699,H 
2015-04-18 17:24,2015-04-18,17:24,-1.974,L 
2015-04-18 23:36,2015-04-18,23:36,1.904,HH
2015-04-19 06:00,2015-04-19,06:00,-2.155,LL
2015-04-19 12:00,2015-04-19,12:00,1.677,H 
2015-04-19 18:12,2015-04-19,18:12,-2.033,L 
2015-04-20 00:30,2015-04-20,00:30,1.858,HH
2015-04-20 06:48,2015-04-20,06:48,-2.210,LL
2015-04-20 13:00,2015-04-20,13:00,1.644,H 
2015-04-20 19:00,2015-04-20,19:00,-1.742,L 
2015-04-21 01:18,2015-04-21,01:18,2.113,HH
2015-04-21 07:36,2015-04-21,07:36,-1.816,LL
2015-04-21 13:42,2015-04-21,13:42,1.727,H 
2015-04-21 19:48,2015-04-21,19:48,-1.596,L 
2015-04-22 02:00,2015-04-22,02:00,1.923,HH
2015-04-22 08:24,2015-04-22,08:24,-1.860,LL
2015-04-22 14:42,2015-04-22,14:42,1.561,H 
2015-04-22 20:36,2015-04-22,20:36,-1.356,L 
2015-04-23 03:00,2015-04-23,03:00,1.849,HH
2015-04-23 09:18,2015-04-23,09:18,-1.693,LL
2015-04-23 15:42,2015-04-23,15:42,1.481,H 
2015-04-23 21:36,2015-04-23,21:36,-1.248,L 
2015-04-24 03:48,2015-04-24,03:48,1.621,HH
2015-04-24 10:12,2015-04-24,10:12,-1.546,LL
2015-04-24 16:30,2015-04-24,16:30,1.282,H 
2015-04-24 22:36,2015-04-24,22:36,-1.196,L 
2015-04-25 04:48,2015-04-25,04:48,1.457,HH
2015-04-25 11:06,2015-04-25,11:06,-1.374,LL
2015-04-25 17:30,2015-04-25,17:30,1.202,H 
2015-04-25 23:36,2015-04-25,23:36,-1.043,L 
2015-04-26 05:48,2015-04-26,05:48,1.345,HH
2015-04-26 12:00,2015-04-26,12:00,-1.234,LL
2015-04-26 18:24,2015-04-26,18:24,1.219,H 
2015-04-27 00:30,2015-04-27,00:30,-0.998,L 
2015-04-27 06:54,2015-04-27,06:54,1.264,HH
2015-04-27 13:00,2015-04-27,13:00,-1.177,LL
2015-04-27 19:12,2015-04-27,19:12,1.203,H 
2015-04-28 01:42,2015-04-28,01:42,-0.957,L 
2015-04-28 07:42,2015-04-28,07:42,1.236,HH
2015-04-28 14:12,2015-04-28,14:12,-1.126,LL
2015-04-28 20:12,2015-04-28,20:12,1.155,H 
2015-04-29 02:30,2015-04-29,02:30,-1.072,L 
2015-04-29 08:30,2015-04-29,08:30,1.285,HH
2015-04-29 15:00,2015-04-29,15:00,-1.088,LL
2015-04-29 21:06,2015-04-29,21:06,1.295,HH
2015-04-30 03:12,2015-04-30,03:12,-1.252,LL
2015-04-30 09:36,2015-04-30,09:36,1.169,H 
2015-04-30 15:42,2015-04-30,15:42,-1.194,L 
2015-04-30 21:54,2015-04-30,21:54,1.331,HH
2015-05-01 04:06,2015-05-01,04:06,-1.317,LL
2015-05-01 10:24,2015-05-01,10:24,1.203,H 
2015-05-01 16:24,2015-05-01,16:24,-1.260,L 
2015-05-01 22:36,2015-05-01,22:36,1.377,HH
2015-05-02 04:48,2015-05-02,04:48,-1.418,LL
2015-05-02 11:00,2015-05-02,11:00,1.205,H 
2015-05-02 17:00,2015-05-02,17:00,-1.321,L 
2015-05-02 23:12,2015-05-02,23:12,1.425,HH
2015-05-03 05:24,2015-05-03,05:24,-1.512,LL
